Id,name,price,Class
1,Steak,1.00,1
2,Chicken,0.75,1
3,Carnitas,1.00,1
4,Veggie,0.50,1
5,Flour,0.25,2
6,Cayenne,0.35,2
7,Wheat,0.35,2
8,Spinach,0.30,2
9,Cilantro Rice,0.25,3
10,Spanish Rice,0.25,3
11,Queso Fresco,0.50,4
12,Cheddar/Jack Mix,0.35,4
13,Monterrey Jack,0.35,4
14,Refried Beans,0.35,5
15,Whole Pinto Beans,0.25,5
16,Black Beans,0.10,5
17,Hot Tomatillo,0,6
18,Death,0,6
19,Fresh Lime Juice,0,6
20,Bad Ass BBQ,0,6
21,Mild Tomatillo,0,6
22,Ranch,0,6
23,No Sauce,0,6
24,Habenero,0,6
25,Salsa,0,6
26,Ancho,0,6
27,Tomatillo,0,6
28,Herb Vinigrette,0,6
29,Poblano Salsa,0,7
30,Roasted Garlic,0,7
31,Peppers/Onions,0,7
32,Red Onion,0,7
33,Jalapenos,0,7
34,Pico de Gallo,0,7
35,White Onion,0,7
36,Tomatoes,0,7
37,Cilantro,0,7
38,Tortilla Strips,0,7
39,Lettuce,0,7
40,X - Extra Meat/Veggies,1.00,8
41,Sour Cream,0.75,8
42,Guacamole,0.75,8
43,Queso,0.50,8
44,Sliced Avocado,0.75,8
45,Bacon,0.50,8
